News_Data,Labelling,Cleaned_News-Data,Tokenized,Tokenized_Stopword,Tokenized_Stopword_Stemmed,Detokenized
Trump dan Netanyahu menyepakati rencana perdamaian di Gaza â€“ Apa sikap Indonesia?,0,trump dan netanyahu menyepakati rencana perdamaian di gaza â apa sikap indonesia,"['trump', 'dan', 'netanyahu', 'menyepakati', 'rencana', 'perdamaian', 'di', 'gaza', 'â', 'apa', 'sikap', 'indonesia']","['trump', 'netanyahu', 'menyepakati', 'rencana', 'perdamaian', 'gaza', 'â', 'sikap', 'indonesia']","['trump', 'netanyahu', 'pakat', 'rencana', 'damai', 'gaza', '', 'sikap', 'indonesia']",trump netanyahu pakat rencana damai gaza  sikap indonesia
"Ribuan kasus keracunan, SPPG terus beroperasi â€“ 'Sertifikat laik kebersihan sedang diurus'",-1,ribuan kasus keracunan sppg terus beroperasi â sertifikat laik kebersihan sedang diurus,"['ribuan', 'kasus', 'keracunan', 'sppg', 'terus', 'beroperasi', 'â', 'sertifikat', 'laik', 'kebersihan', 'sedang', 'diurus']","['ribuan', 'keracunan', 'sppg', 'beroperasi', 'â', 'sertifikat', 'laik', 'kebersihan', 'diurus']","['ribu', 'racun', 'sppg', 'operasi', '', 'sertifikat', 'laik', 'bersih', 'urus']",ribu racun sppg operasi  sertifikat laik bersih urus
"Video,
Pesantren ambruk, ratusan siswa dievakuasi
, Durasi 1,34",-1,video pesantren ambruk ratusan siswa dievakuasi durasi,"['video', 'pesantren', 'ambruk', 'ratusan', 'siswa', 'dievakuasi', 'durasi']","['video', 'pesantren', 'ambruk', 'ratusan', 'siswa', 'dievakuasi', 'durasi']","['video', 'pesantren', 'ambruk', 'ratus', 'siswa', 'evakuasi', 'durasi']",video pesantren ambruk ratus siswa evakuasi durasi
Tragedi 1965 di Padang Halaban â€“ 'Tanah rakyat diambil tentara dengan memanfaatkan sentimen PKI',0,tragedi di padang halaban â tanah rakyat diambil tentara dengan memanfaatkan sentimen pki,"['tragedi', 'di', 'padang', 'halaban', 'â', 'tanah', 'rakyat', 'diambil', 'tentara', 'dengan', 'memanfaatkan', 'sentimen', 'pki']","['tragedi', 'padang', 'halaban', 'â', 'tanah', 'rakyat', 'diambil', 'tentara', 'memanfaatkan', 'sentimen', 'pki']","['tragedi', 'padang', 'halaban', '', 'tanah', 'rakyat', 'ambil', 'tentara', 'manfaat', 'sentimen', 'pki']",tragedi padang halaban  tanah rakyat ambil tentara manfaat sentimen pki
MK putuskan UU Tapera bertentangan dengan UUD 1945 dan harus diubah â€“ 'Tapera akan menjadi beban pekerja terlebih lagi bagi yang terkena PHK',-1,mk putuskan uu tapera bertentangan dengan uud dan harus diubah â tapera akan menjadi beban pekerja terlebih lagi bagi yang terkena phk,"['mk', 'putuskan', 'uu', 'tapera', 'bertentangan', 'dengan', 'uud', 'dan', 'harus', 'diubah', 'â', 'tapera', 'akan', 'menjadi', 'beban', 'pekerja', 'terlebih', 'lagi', 'bagi', 'yang', 'terkena', 'phk']","['mk', 'putuskan', 'uu', 'tapera', 'bertentangan', 'uud', 'diubah', 'â', 'tapera', 'beban', 'pekerja', 'terkena', 'phk']","['mk', 'putus', 'uu', 'tapera', 'tentang', 'uud', 'ubah', '', 'tapera', 'beban', 'kerja', 'kena', 'phk']",mk putus uu tapera tentang uud ubah  tapera beban kerja kena phk
"Tentara merampas tanah rakyat secara sistematis saat Tragedi 1965 â€“ Dicap komunis, lahannya dipakai berbisnis",-1,tentara merampas tanah rakyat secara sistematis saat tragedi â dicap komunis lahannya dipakai berbisnis,"['tentara', 'merampas', 'tanah', 'rakyat', 'secara', 'sistematis', 'saat', 'tragedi', 'â', 'dicap', 'komunis', 'lahannya', 'dipakai', 'berbisnis']","['tentara', 'merampas', 'tanah', 'rakyat', 'sistematis', 'tragedi', 'â', 'dicap', 'komunis', 'lahannya', 'dipakai', 'berbisnis']","['tentara', 'rampas', 'tanah', 'rakyat', 'sistematis', 'tragedi', '', 'cap', 'komunis', 'lahan', 'pakai', 'bisnis']",tentara rampas tanah rakyat sistematis tragedi  cap komunis lahan pakai bisnis
Ribuan kasus keracunan akibat MBG â€“ Evaluasi SPPG dan standar higienis jadi prioritas pemerintah,-1,ribuan kasus keracunan akibat mbg â evaluasi sppg dan standar higienis jadi prioritas pemerintah,"['ribuan', 'kasus', 'keracunan', 'akibat', 'mbg', 'â', 'evaluasi', 'sppg', 'dan', 'standar', 'higienis', 'jadi', 'prioritas', 'pemerintah']","['ribuan', 'keracunan', 'akibat', 'mbg', 'â', 'evaluasi', 'sppg', 'standar', 'higienis', 'prioritas', 'pemerintah']","['ribu', 'racun', 'akibat', 'mbg', '', 'evaluasi', 'sppg', 'standar', 'higienis', 'prioritas', 'perintah']",ribu racun akibat mbg  evaluasi sppg standar higienis prioritas perintah
'Ekspektasi versus realita' â€“ Apakah Bali telah menjadi korban kesuksesan pariwisata?,0,ekspektasi versus realita â apakah bali telah menjadi korban kesuksesan pariwisata,"['ekspektasi', 'versus', 'realita', 'â', 'apakah', 'bali', 'telah', 'menjadi', 'korban', 'kesuksesan', 'pariwisata']","['ekspektasi', 'versus', 'realita', 'â', 'bali', 'korban', 'kesuksesan', 'pariwisata']","['ekspektasi', 'versus', 'realita', '', 'bal', 'korban', 'sukses', 'pariwisata']",ekspektasi versus realita  bal korban sukses pariwisata
Di balik RUU Perampasan Aset: Kisah buron kakak Edy Tansil dan 'ketakutan dipakai sebagai alat gebuk negara',0,di balik ruu perampasan aset kisah buron kakak edy tansil dan ketakutan dipakai sebagai alat gebuk negara,"['di', 'balik', 'ruu', 'perampasan', 'aset', 'kisah', 'buron', 'kakak', 'edy', 'tansil', 'dan', 'ketakutan', 'dipakai', 'sebagai', 'alat', 'gebuk', 'negara']","['ruu', 'perampasan', 'aset', 'kisah', 'buron', 'kakak', 'edy', 'tansil', 'ketakutan', 'dipakai', 'alat', 'gebuk', 'negara']","['ruu', 'ampas', 'aset', 'kisah', 'buron', 'kakak', 'edy', 'tansil', 'takut', 'pakai', 'alat', 'gebuk', 'negara']",ruu ampas aset kisah buron kakak edy tansil takut pakai alat gebuk negara
"Video,
Bagaimana kebijakan Rp200 triliun Menkeu Purbaya bisa terasa oleh masyarakat?
, Durasi 5,33",0,video bagaimana kebijakan rp triliun menkeu purbaya bisa terasa oleh masyarakat durasi,"['video', 'bagaimana', 'kebijakan', 'rp', 'triliun', 'menkeu', 'purbaya', 'bisa', 'terasa', 'oleh', 'masyarakat', 'durasi']","['video', 'kebijakan', 'rp', 'triliun', 'menkeu', 'purbaya', 'masyarakat', 'durasi']","['video', 'bijak', 'rp', 'triliun', 'menkeu', 'purbaya', 'masyarakat', 'durasi']",video bijak rp triliun menkeu purbaya masyarakat durasi
"APBN 2026: Defisit Rp689,1 triliun â€“ â€˜Tingkatkan penerimaan, pajak kelas atas belum tergarapâ€™",0,apbn defisit rp triliun â â tingkatkan penerimaan pajak kelas atas belum tergarapâ,"['apbn', 'defisit', 'rp', 'triliun', 'â', 'â', 'tingkatkan', 'penerimaan', 'pajak', 'kelas', 'atas', 'belum', 'tergarapâ']","['apbn', 'defisit', 'rp', 'triliun', 'â', 'â', 'tingkatkan', 'penerimaan', 'pajak', 'kelas', 'tergarapâ']","['apbn', 'defisit', 'rp', 'triliun', '', '', 'tingkat', 'terima', 'pajak', 'kelas', 'garap']",apbn defisit rp triliun   tingkat terima pajak kelas garap
Apakah korban keracunan Makan Bergizi Gratis bisa menggugat pemerintah secara hukum?,0,apakah korban keracunan makan bergizi gratis bisa menggugat pemerintah secara hukum,"['apakah', 'korban', 'keracunan', 'makan', 'bergizi', 'gratis', 'bisa', 'menggugat', 'pemerintah', 'secara', 'hukum']","['korban', 'keracunan', 'makan', 'bergizi', 'gratis', 'menggugat', 'pemerintah', 'hukum']","['korban', 'racun', 'makan', 'gizi', 'gratis', 'gugat', 'perintah', 'hukum']",korban racun makan gizi gratis gugat perintah hukum
"IKN jadi ibu kota politik pada 2028, apa maksudnya?",0,ikn jadi ibu kota politik pada apa maksudnya,"['ikn', 'jadi', 'ibu', 'kota', 'politik', 'pada', 'apa', 'maksudnya']","['ikn', 'kota', 'politik', 'maksudnya']","['ikn', 'kota', 'politik', 'maksud']",ikn kota politik maksud
"Dua karyawan Freeport yang terjebak di bawah tanah ditemukan meninggal dunia, polisi ungkap identitasnya",-1,dua karyawan freeport yang terjebak di bawah tanah ditemukan meninggal dunia polisi ungkap identitasnya,"['dua', 'karyawan', 'freeport', 'yang', 'terjebak', 'di', 'bawah', 'tanah', 'ditemukan', 'meninggal', 'dunia', 'polisi', 'ungkap', 'identitasnya']","['karyawan', 'freeport', 'terjebak', 'tanah', 'ditemukan', 'meninggal', 'dunia', 'polisi', 'identitasnya']","['karyawan', 'freeport', 'jebak', 'tanah', 'temu', 'tinggal', 'dunia', 'polisi', 'identitas']",karyawan freeport jebak tanah temu tinggal dunia polisi identitas
Warga Pati kembali demo tuntut bupati lengser â€“ Bagaimana mekanisme pemberhentian kepala daerah?,0,warga pati kembali demo tuntut bupati lengser â bagaimana mekanisme pemberhentian kepala daerah,"['warga', 'pati', 'kembali', 'demo', 'tuntut', 'bupati', 'lengser', 'â', 'bagaimana', 'mekanisme', 'pemberhentian', 'kepala', 'daerah']","['warga', 'pati', 'demo', 'tuntut', 'bupati', 'lengser', 'â', 'mekanisme', 'pemberhentian', 'kepala', 'daerah']","['warga', 'pati', 'demo', 'tuntut', 'bupati', 'lengser', '', 'mekanisme', 'henti', 'kepala', 'daerah']",warga pati demo tuntut bupati lengser  mekanisme henti kepala daerah
"Nestapa pengamen ondel-ondel Betawi â€“ 'Kalau dilarang, kita makan apa?'",0,nestapa pengamen ondel ondel betawi â kalau dilarang kita makan apa,"['nestapa', 'pengamen', 'ondel', 'ondel', 'betawi', 'â', 'kalau', 'dilarang', 'kita', 'makan', 'apa']","['nestapa', 'pengamen', 'ondel', 'ondel', 'betawi', 'â', 'dilarang', 'makan']","['nestapa', 'amen', 'ondel', 'ondel', 'betawi', '', 'larang', 'makan']",nestapa amen ondel ondel betawi  larang makan
"Video,
Uji formil UU TNI ditolak MK, apa dampaknya?
, Durasi 3,34",0,video uji formil uu tni ditolak mk apa dampaknya durasi,"['video', 'uji', 'formil', 'uu', 'tni', 'ditolak', 'mk', 'apa', 'dampaknya', 'durasi']","['video', 'uji', 'formil', 'uu', 'tni', 'ditolak', 'mk', 'dampaknya', 'durasi']","['video', 'uji', 'formil', 'uu', 'tni', 'tolak', 'mk', 'dampak', 'durasi']",video uji formil uu tni tolak mk dampak durasi
Mengapa Prabowo merekrut sejumlah eks-tentara pada era tragedi 1998?,0,mengapa prabowo merekrut sejumlah eks tentara pada era tragedi,"['mengapa', 'prabowo', 'merekrut', 'sejumlah', 'eks', 'tentara', 'pada', 'era', 'tragedi']","['prabowo', 'merekrut', 'eks', 'tentara', 'era', 'tragedi']","['prabowo', 'rekrut', 'eks', 'tentara', 'era', 'tragedi']",prabowo rekrut eks tentara era tragedi
"Kerusuhan di Kabupaten Yalimo, Papua Pegunungan, disinyalir dipicu ucapan rasis pelajar SMA â€“ Mengapa kasus rasisme selalu berulang?",-1,kerusuhan di kabupaten yalimo papua pegunungan disinyalir dipicu ucapan rasis pelajar sma â mengapa kasus rasisme selalu berulang,"['kerusuhan', 'di', 'kabupaten', 'yalimo', 'papua', 'pegunungan', 'disinyalir', 'dipicu', 'ucapan', 'rasis', 'pelajar', 'sma', 'â', 'mengapa', 'kasus', 'rasisme', 'selalu', 'berulang']","['kerusuhan', 'kabupaten', 'yalimo', 'papua', 'pegunungan', 'disinyalir', 'dipicu', 'ucapan', 'rasis', 'pelajar', 'sma', 'â', 'rasisme', 'berulang']","['rusuh', 'kabupaten', 'yalimo', 'papua', 'gunung', 'sinyalir', 'picu', 'ucap', 'ras', 'ajar', 'sma', '', 'rasisme', 'ulang']",rusuh kabupaten yalimo papua gunung sinyalir picu ucap ras ajar sma  rasisme ulang
Polisi tembak polisi hingga tewas di Sumbar divonis hukuman penjara seumur hidup,0,polisi tembak polisi hingga tewas di sumbar divonis hukuman penjara seumur hidup,"['polisi', 'tembak', 'polisi', 'hingga', 'tewas', 'di', 'sumbar', 'divonis', 'hukuman', 'penjara', 'seumur', 'hidup']","['polisi', 'tembak', 'polisi', 'tewas', 'sumbar', 'divonis', 'hukuman', 'penjara', 'seumur', 'hidup']","['polisi', 'tembak', 'polisi', 'tewas', 'sumbar', 'vonis', 'hukum', 'penjara', 'umur', 'hidup']",polisi tembak polisi tewas sumbar vonis hukum penjara umur hidup
MK tolak uji formil UU TNI â€“ Apa alasannya dan bagaimana dampaknya?,0,mk tolak uji formil uu tni â apa alasannya dan bagaimana dampaknya,"['mk', 'tolak', 'uji', 'formil', 'uu', 'tni', 'â', 'apa', 'alasannya', 'dan', 'bagaimana', 'dampaknya']","['mk', 'tolak', 'uji', 'formil', 'uu', 'tni', 'â', 'alasannya', 'dampaknya']","['mk', 'tolak', 'uji', 'formil', 'uu', 'tni', '', 'alas', 'dampak']",mk tolak uji formil uu tni  alas dampak
"Prabowo lantik Djamari Chaniago sebagai Menko Polkam, Eric Thohir Menpora",0,prabowo lantik djamari chaniago sebagai menko polkam eric thohir menpora,"['prabowo', 'lantik', 'djamari', 'chaniago', 'sebagai', 'menko', 'polkam', 'eric', 'thohir', 'menpora']","['prabowo', 'lantik', 'djamari', 'chaniago', 'menko', 'polkam', 'eric', 'thohir', 'menpora']","['prabowo', 'lantik', 'djamari', 'chaniago', 'menko', 'polkam', 'eric', 'thohir', 'menpora']",prabowo lantik djamari chaniago menko polkam eric thohir menpora
"Video,
Kiprah perempuan adat Yenbuba merestorasi terumbu karang Raja Ampat yang rusak
, Durasi 2,40",1,video kiprah perempuan adat yenbuba merestorasi terumbu karang raja ampat yang rusak durasi,"['video', 'kiprah', 'perempuan', 'adat', 'yenbuba', 'merestorasi', 'terumbu', 'karang', 'raja', 'ampat', 'yang', 'rusak', 'durasi']","['video', 'kiprah', 'perempuan', 'adat', 'yenbuba', 'merestorasi', 'terumbu', 'karang', 'raja', 'ampat', 'rusak', 'durasi']","['video', 'kiprah', 'perempuan', 'adat', 'yenbuba', 'restorasi', 'terumbu', 'karang', 'raja', 'ampat', 'rusak', 'durasi']",video kiprah perempuan adat yenbuba restorasi terumbu karang raja ampat rusak durasi
Video Presiden Prabowo tayang di bioskop â€“ Apakah praktik Orde Baru hadir kembali?,0,video presiden prabowo tayang di bioskop â apakah praktik orde baru hadir kembali,"['video', 'presiden', 'prabowo', 'tayang', 'di', 'bioskop', 'â', 'apakah', 'praktik', 'orde', 'baru', 'hadir', 'kembali']","['video', 'presiden', 'prabowo', 'tayang', 'bioskop', 'â', 'praktik', 'orde', 'hadir']","['video', 'presiden', 'prabowo', 'tayang', 'bioskop', '', 'praktik', 'orde', 'hadir']",video presiden prabowo tayang bioskop  praktik orde hadir
"Stok BBM di SPBU swasta nyaris nihil, apa dampak dugaan monopoli terhadap konsumen?",-1,stok bbm di spbu swasta nyaris nihil apa dampak dugaan monopoli terhadap konsumen,"['stok', 'bbm', 'di', 'spbu', 'swasta', 'nyaris', 'nihil', 'apa', 'dampak', 'dugaan', 'monopoli', 'terhadap', 'konsumen']","['stok', 'bbm', 'spbu', 'swasta', 'nihil', 'dampak', 'dugaan', 'monopoli', 'konsumen']","['stok', 'bbm', 'spbu', 'swasta', 'nihil', 'dampak', 'duga', 'monopoli', 'konsumen']",stok bbm spbu swasta nihil dampak duga monopoli konsumen
'Paket stimulus ekonomi 8+4+5' demi kejar target pertumbuhan ekonomi â€“ Apa saja yang perlu diketahui?,1,paket stimulus ekonomi demi kejar target pertumbuhan ekonomi â apa saja yang perlu diketahui,"['paket', 'stimulus', 'ekonomi', 'demi', 'kejar', 'target', 'pertumbuhan', 'ekonomi', 'â', 'apa', 'saja', 'yang', 'perlu', 'diketahui']","['paket', 'stimulus', 'ekonomi', 'kejar', 'target', 'pertumbuhan', 'ekonomi', 'â']","['paket', 'stimulus', 'ekonomi', 'kejar', 'target', 'tumbuh', 'ekonomi', '']",paket stimulus ekonomi kejar target tumbuh ekonomi
Lima anggota geng ditangkap terkait pembunuhan staf KBRI di Peru â€“ Bagaimana perkembangan investigasi sejauh ini?,0,lima anggota geng ditangkap terkait pembunuhan staf kbri di peru â bagaimana perkembangan investigasi sejauh ini,"['lima', 'anggota', 'geng', 'ditangkap', 'terkait', 'pembunuhan', 'staf', 'kbri', 'di', 'peru', 'â', 'bagaimana', 'perkembangan', 'investigasi', 'sejauh', 'ini']","['anggota', 'geng', 'ditangkap', 'terkait', 'pembunuhan', 'staf', 'kbri', 'peru', 'â', 'perkembangan', 'investigasi']","['anggota', 'geng', 'tangkap', 'kait', 'bunuh', 'staf', 'kbri', 'peru', '', 'kembang', 'investigasi']",anggota geng tangkap kait bunuh staf kbri peru  kembang investigasi
Presiden Prabowo akan bagikan 330 ribu televisi pintar ke sekolah â€“ Apakah program ini tepat sasaran?,0,presiden prabowo akan bagikan ribu televisi pintar ke sekolah â apakah program ini tepat sasaran,"['presiden', 'prabowo', 'akan', 'bagikan', 'ribu', 'televisi', 'pintar', 'ke', 'sekolah', 'â', 'apakah', 'program', 'ini', 'tepat', 'sasaran']","['presiden', 'prabowo', 'bagikan', 'ribu', 'televisi', 'pintar', 'sekolah', 'â', 'program', 'sasaran']","['presiden', 'prabowo', 'bagi', 'ribu', 'televisi', 'pintar', 'sekolah', '', 'program', 'sasar']",presiden prabowo bagi ribu televisi pintar sekolah  program sasar
Presiden Prabowo akan bagikan 330 ribu televisi pintar ke sekolah â€“ Apakah program ini tepat sasaran?,0,presiden prabowo akan bagikan ribu televisi pintar ke sekolah â apakah program ini tepat sasaran,"['presiden', 'prabowo', 'akan', 'bagikan', 'ribu', 'televisi', 'pintar', 'ke', 'sekolah', 'â', 'apakah', 'program', 'ini', 'tepat', 'sasaran']","['presiden', 'prabowo', 'bagikan', 'ribu', 'televisi', 'pintar', 'sekolah', 'â', 'program', 'sasaran']","['presiden', 'prabowo', 'bagi', 'ribu', 'televisi', 'pintar', 'sekolah', '', 'program', 'sasar']",presiden prabowo bagi ribu televisi pintar sekolah  program sasar
"Video,
Apa hubungan bendera One Piece di demonstrasi Nepal dan Prancis dengan Indonesia?
, Durasi 3,43",0,video apa hubungan bendera one piece di demonstrasi nepal dan prancis dengan indonesia durasi,"['video', 'apa', 'hubungan', 'bendera', 'one', 'piece', 'di', 'demonstrasi', 'nepal', 'dan', 'prancis', 'dengan', 'indonesia', 'durasi']","['video', 'hubungan', 'bendera', 'one', 'piece', 'demonstrasi', 'nepal', 'prancis', 'indonesia', 'durasi']","['video', 'hubung', 'bendera', 'one', 'piece', 'demonstrasi', 'nepal', 'prancis', 'indonesia', 'durasi']",video hubung bendera one piece demonstrasi nepal prancis indonesia durasi
Di balik 'Norma: Antara Mertua dan Menantu' â€“ Mengapa film tema selingkuh digemari di Asia Tenggara?,0,di balik norma antara mertua dan menantu â mengapa film tema selingkuh digemari di asia tenggara,"['di', 'balik', 'norma', 'antara', 'mertua', 'dan', 'menantu', 'â', 'mengapa', 'film', 'tema', 'selingkuh', 'digemari', 'di', 'asia', 'tenggara']","['norma', 'mertua', 'menantu', 'â', 'film', 'tema', 'selingkuh', 'digemari', 'asia', 'tenggara']","['norma', 'mertua', 'menantu', '', 'film', 'tema', 'selingkuh', 'gari', 'asia', 'tenggara']",norma mertua menantu  film tema selingkuh gari asia tenggara
Dua pria Australia ditangkap atas tuduhan memasok senjata api ke TPNPB-OPM,0,dua pria australia ditangkap atas tuduhan memasok senjata api ke tpnpb opm,"['dua', 'pria', 'australia', 'ditangkap', 'atas', 'tuduhan', 'memasok', 'senjata', 'api', 'ke', 'tpnpb', 'opm']","['pria', 'australia', 'ditangkap', 'tuduhan', 'memasok', 'senjata', 'api', 'tpnpb', 'opm']","['pria', 'australia', 'tangkap', 'tuduh', 'pasok', 'senjata', 'api', 'tpnpb', 'opm']",pria australia tangkap tuduh pasok senjata api tpnpb opm
Mahasiswa Indonesia meninggal setelah menemani kunjungan pejabat ke Austria,-1,mahasiswa indonesia meninggal setelah menemani kunjungan pejabat ke austria,"['mahasiswa', 'indonesia', 'meninggal', 'setelah', 'menemani', 'kunjungan', 'pejabat', 'ke', 'austria']","['mahasiswa', 'indonesia', 'meninggal', 'menemani', 'kunjungan', 'pejabat', 'austria']","['mahasiswa', 'indonesia', 'tinggal', 'tani', 'kunjung', 'jabat', 'austria']",mahasiswa indonesia tinggal tani kunjung jabat austria
Anggota TNI jadi tersangka kasus dugaan pembunuhan kepala cabang BRI â€“ Ada apa di balik kasus ini?,-1,anggota tni jadi tersangka kasus dugaan pembunuhan kepala cabang bri â ada apa di balik kasus ini,"['anggota', 'tni', 'jadi', 'tersangka', 'kasus', 'dugaan', 'pembunuhan', 'kepala', 'cabang', 'bri', 'â', 'ada', 'apa', 'di', 'balik', 'kasus', 'ini']","['anggota', 'tni', 'tersangka', 'dugaan', 'pembunuhan', 'kepala', 'cabang', 'bri', 'â']","['anggota', 'tni', 'sangka', 'duga', 'bunuh', 'kepala', 'cabang', 'bri', '']",anggota tni sangka duga bunuh kepala cabang bri
"Suntikan dana pemerintah Rp200 triliun ke perbankan, apa yang patut diketahui?",0,suntikan dana pemerintah rp triliun ke perbankan apa yang patut diketahui,"['suntikan', 'dana', 'pemerintah', 'rp', 'triliun', 'ke', 'perbankan', 'apa', 'yang', 'patut', 'diketahui']","['suntikan', 'dana', 'pemerintah', 'rp', 'triliun', 'perbankan', 'patut']","['sunti', 'dana', 'perintah', 'rp', 'triliun', 'perban', 'patut']",sunti dana perintah rp triliun perban patut
"Bahlil izinkan tambang nikel beroperasi kembali di Raja Ampat, Greenpeace sebut 'pemerintah dan korporasi serakah'",-1,bahlil izinkan tambang nikel beroperasi kembali di raja ampat greenpeace sebut pemerintah dan korporasi serakah,"['bahlil', 'izinkan', 'tambang', 'nikel', 'beroperasi', 'kembali', 'di', 'raja', 'ampat', 'greenpeace', 'sebut', 'pemerintah', 'dan', 'korporasi', 'serakah']","['bahlil', 'izinkan', 'tambang', 'nikel', 'beroperasi', 'raja', 'ampat', 'greenpeace', 'pemerintah', 'korporasi', 'serakah']","['bahlil', 'izin', 'tambang', 'nikel', 'operasi', 'raja', 'ampat', 'greenpeace', 'perintah', 'korporasi', 'serakah']",bahlil izin tambang nikel operasi raja ampat greenpeace perintah korporasi serakah
"Banjir Bali terparah sepanjang satu dekade, korban meninggal bertambah menjadi 16 orang",-1,banjir bali terparah sepanjang satu dekade korban meninggal bertambah menjadi orang,"['banjir', 'bali', 'terparah', 'sepanjang', 'satu', 'dekade', 'korban', 'meninggal', 'bertambah', 'menjadi', 'orang']","['banjir', 'bali', 'terparah', 'dekade', 'korban', 'meninggal', 'bertambah', 'orang']","['banjir', 'bal', 'parah', 'dekade', 'korban', 'tinggal', 'tambah', 'orang']",banjir bal parah dekade korban tinggal tambah orang
"Bendera One Piece berkibar di tengah aksi demonstrasi di Indonesia, Nepal, dan Prancis - 'Bentuk rasa frustrasi anak muda pada pemerintah'",-1,bendera one piece berkibar di tengah aksi demonstrasi di indonesia nepal dan prancis bentuk rasa frustrasi anak muda pada pemerintah,"['bendera', 'one', 'piece', 'berkibar', 'di', 'tengah', 'aksi', 'demonstrasi', 'di', 'indonesia', 'nepal', 'dan', 'prancis', 'bentuk', 'rasa', 'frustrasi', 'anak', 'muda', 'pada', 'pemerintah']","['bendera', 'one', 'piece', 'berkibar', 'aksi', 'demonstrasi', 'indonesia', 'nepal', 'prancis', 'bentuk', 'frustrasi', 'anak', 'muda', 'pemerintah']","['bendera', 'one', 'piece', 'kibar', 'aksi', 'demonstrasi', 'indonesia', 'nepal', 'prancis', 'bentuk', 'frustrasi', 'anak', 'muda', 'perintah']",bendera one piece kibar aksi demonstrasi indonesia nepal prancis bentuk frustrasi anak muda perintah
Kisah perempuan adat Yenbuba merestorasi terumbu karang Raja Ampat yang rusak akibat insiden Caledonian Sky tujuh tahun lalu,1,kisah perempuan adat yenbuba merestorasi terumbu karang raja ampat yang rusak akibat insiden caledonian sky tujuh tahun lalu,"['kisah', 'perempuan', 'adat', 'yenbuba', 'merestorasi', 'terumbu', 'karang', 'raja', 'ampat', 'yang', 'rusak', 'akibat', 'insiden', 'caledonian', 'sky', 'tujuh', 'tahun', 'lalu']","['kisah', 'perempuan', 'adat', 'yenbuba', 'merestorasi', 'terumbu', 'karang', 'raja', 'ampat', 'rusak', 'akibat', 'insiden', 'caledonian', 'sky', 'tujuh']","['kisah', 'perempuan', 'adat', 'yenbuba', 'restorasi', 'terumbu', 'karang', 'raja', 'ampat', 'rusak', 'akibat', 'insiden', 'caledonian', 'sky', 'tujuh']",kisah perempuan adat yenbuba restorasi terumbu karang raja ampat rusak akibat insiden caledonian sky tujuh
Pemuda asli Papua tewas diduga akibat dianiaya polisi â€“ 'Nyawa kami seakan mudah sekali dibunuh',-1,pemuda asli papua tewas diduga akibat dianiaya polisi â nyawa kami seakan mudah sekali dibunuh,"['pemuda', 'asli', 'papua', 'tewas', 'diduga', 'akibat', 'dianiaya', 'polisi', 'â', 'nyawa', 'kami', 'seakan', 'mudah', 'sekali', 'dibunuh']","['pemuda', 'asli', 'papua', 'tewas', 'diduga', 'akibat', 'dianiaya', 'polisi', 'â', 'nyawa', 'seakan', 'mudah', 'dibunuh']","['pemuda', 'asli', 'papua', 'tewas', 'duga', 'akibat', 'aniaya', 'polisi', '', 'nyawa', 'akan', 'mudah', 'bunuh']",pemuda asli papua tewas duga akibat aniaya polisi  nyawa akan mudah bunuh
"Tunjangan rumah DPRD Jakarta, Jateng, Jabar, dan Sumut mencapai Rp40 juta-Rp70 juta",0,tunjangan rumah dprd jakarta jateng jabar dan sumut mencapai rp juta rp juta,"['tunjangan', 'rumah', 'dprd', 'jakarta', 'jateng', 'jabar', 'dan', 'sumut', 'mencapai', 'rp', 'juta', 'rp', 'juta']","['tunjangan', 'rumah', 'dprd', 'jakarta', 'jateng', 'jabar', 'sumut', 'mencapai', 'rp', 'juta', 'rp', 'juta']","['tunjang', 'rumah', 'dprd', 'jakarta', 'jateng', 'jabar', 'sumut', 'capai', 'rp', 'juta', 'rp', 'juta']",tunjang rumah dprd jakarta jateng jabar sumut capai rp juta rp juta
Anak gajah bernama Tari mati di Taman Nasional Tesso Nilo â€“ Apa penyebab kematiannya?,-1,anak gajah bernama tari mati di taman nasional tesso nilo â apa penyebab kematiannya,"['anak', 'gajah', 'bernama', 'tari', 'mati', 'di', 'taman', 'nasional', 'tesso', 'nilo', 'â', 'apa', 'penyebab', 'kematiannya']","['anak', 'gajah', 'bernama', 'tari', 'mati', 'taman', 'nasional', 'tesso', 'nilo', 'â', 'penyebab', 'kematiannya']","['anak', 'gajah', 'nama', 'tari', 'mati', 'taman', 'nasional', 'tesso', 'nilo', '', 'sebab', 'mati']",anak gajah nama tari mati taman nasional tesso nilo  sebab mati
"Purbaya dilantik jadi menteri keuangan, apa saja PR yang harus dituntaskan?",0,purbaya dilantik jadi menteri keuangan apa saja pr yang harus dituntaskan,"['purbaya', 'dilantik', 'jadi', 'menteri', 'keuangan', 'apa', 'saja', 'pr', 'yang', 'harus', 'dituntaskan']","['purbaya', 'dilantik', 'menteri', 'keuangan', 'pr', 'dituntaskan']","['purbaya', 'lantik', 'menteri', 'uang', 'pr', 'tuntas']",purbaya lantik menteri uang pr tuntas
